elapsed_s,power_w,gpu_use_pct,vram_used_mb,vram_total_mb
109.594,125.093,99.0,1881.97265625,32768.0
109.988,125.052,99.0,1893.96875,32768.0
110.372,122.057,99.0,1901.98046875,32768.0
110.739,110.093,99.0,1909.96875,32768.0
111.101,120.063,99.0,1917.98046875,32768.0
111.503,120.041,100.0,1925.9765625,32768.0
111.87,121.088,99.0,1933.9609375,32768.0
112.276,124.088,99.0,1941.9765625,32768.0
112.664,123.006,99.0,1594.05859375,32768.0
113.068,125.083,99.0,1606.0546875,32768.0
113.439,122.002,99.0,1614.05859375,32768.0
113.844,127.063,99.0,1622.0546875,32768.0
114.243,131.076,99.0,1630.06640625,32768.0
114.65,132.001,99.0,1642.046875,32768.0
115.048,121.034,99.0,1650.04296875,32768.0
115.41,115.072,99.0,1658.04296875,32768.0
115.809,122.002,99.0,1717.98828125,32768.0
116.203,126.0,99.0,1725.953125,32768.0
116.638,128.032,99.0,1733.97265625,32768.0
117.048,128.031,99.0,1741.97265625,32768.0
117.452,128.058,99.0,1749.9765625,32768.0
117.855,127.099,99.0,1761.96875,32768.0
118.224,120.061,99.0,1759.96484375,32768.0
118.592,113.016,99.0,1767.953125,32768.0
118.986,118.022,99.0,1775.953125,32768.0
119.361,115.067,99.0,1783.96484375,32768.0
119.744,123.005,99.0,1791.953125,32768.0
120.13,117.087,99.0,1803.953125,32768.0
120.5,122.071,99.0,1811.95703125,32768.0
120.893,122.004,99.0,1801.390625,32768.0
121.262,124.02,100.0,1813.390625,32768.0
121.664,127.007,99.0,1821.3828125,32768.0
122.066,128.086,100.0,1829.3828125,32768.0
122.485,126.098,100.0,1837.3828125,32768.0
122.85,115.0,100.0,1845.37890625,32768.0
123.211,100.048,99.0,1853.38671875,32768.0
123.58,88.08,100.0,1857.37890625,32768.0
123.947,85.076,99.0,1865.375,32768.0
124.333,109.031,99.0,1877.37890625,32768.0
124.809,124.046,99.0,1861.96484375,32768.0
125.278,131.071,100.0,1869.95703125,32768.0
125.707,135.094,99.0,1881.95703125,32768.0
126.197,140.013,99.0,1889.9296875,32768.0
126.703,142.06,99.0,1901.953125,32768.0
127.19,143.022,99.0,1909.92578125,32768.0
127.679,143.034,99.0,1626.02734375,32768.0
128.132,143.038,99.0,1634.02734375,32768.0
128.606,143.07,99.0,1646.01953125,32768.0
129.129,142.099,99.0,1654.015625,32768.0
129.521,143.005,99.0,1666.015625,32768.0
129.934,144.046,99.0,1678.0078125,32768.0
130.432,145.088,99.0,1686.015625,32768.0
130.947,146.085,99.0,1698.00390625,32768.0
131.454,147.052,99.0,1710.00390625,32768.0
131.88,148.018,99.0,1718.00390625,32768.0
132.308,148.034,99.0,1730.00390625,32768.0
132.772,147.011,99.0,1741.99609375,32768.0
133.264,147.011,99.0,1750.0078125,32768.0
133.739,146.079,99.0,1762.0,32768.0
134.236,147.023,99.0,1769.99609375,32768.0
134.656,145.066,99.0,1777.99609375,32768.0
135.048,144.004,99.0,1789.99609375,32768.0
135.492,144.0,99.0,1797.99609375,32768.0
135.93,143.013,99.0,1805.99609375,32768.0
136.386,142.092,99.0,1818.00390625,32768.0
136.819,142.06,99.0,1826.0,32768.0
137.318,142.092,99.0,1837.984375,32768.0
137.809,143.048,99.0,1850.0,32768.0
138.288,143.068,99.0,1857.99609375,32768.0
138.774,143.028,99.0,1869.9921875,32768.0
139.227,143.016,99.0,1881.97265625,32768.0
139.702,143.026,99.0,1889.98828125,32768.0
140.116,143.028,99.0,1897.9765625,32768.0
140.598,143.019,99.0,1909.95703125,32768.0
141.092,142.094,99.0,1921.94921875,32768.0
141.58,143.024,99.0,1985.90625,32768.0
142.052,143.06,99.0,1993.87109375,32768.0
142.538,143.091,99.0,1659.05859375,32768.0
142.964,143.079,99.0,1674.828125,32768.0
143.435,143.089,99.0,1686.8203125,32768.0
143.93,143.082,99.0,1694.82421875,32768.0
144.417,143.07,100.0,1704.81640625,32768.0
144.853,143.035,100.0,1712.80859375,32768.0
145.332,143.084,99.0,1706.234375,32768.0
145.828,143.096,99.0,1718.22265625,32768.0
146.33,144.016,99.0,1730.21875,32768.0
146.85,143.07,99.0,1738.21875,32768.0
147.325,145.012,99.0,1746.2265625,32768.0
147.792,146.002,99.0,1749.09375,32768.0
148.269,146.099,99.0,1741.71875,32768.0
148.754,146.072,99.0,1749.703125,32768.0
149.178,145.032,99.0,1757.6796875,32768.0
149.652,145.035,99.0,1769.70703125,32768.0
150.117,145.04,99.0,1781.69921875,32768.0
150.533,145.038,99.0,1785.7109375,32768.0
150.944,145.045,99.0,1805.2421875,32768.0
151.425,145.027,99.0,1813.22265625,32768.0
151.81,145.0,99.0,1821.2421875,32768.0
152.192,144.015,99.0,1829.25,32768.0
152.624,142.04,99.0,1841.2421875,32768.0
153.017,141.01,99.0,1849.2421875,32768.0
153.412,139.051,99.0,1857.25,32768.0
153.804,136.025,99.0,1865.2421875,32768.0
154.192,128.043,99.0,1873.2421875,32768.0
