elapsed_s,power_w,gpu_use_pct,vram_used_mb,vram_total_mb
232.877,97.073,100.0,2072.41015625,32768.0
233.237,97.067,100.0,2084.40625,32768.0
233.602,96.099,100.0,2053.69140625,32768.0
233.971,98.05,100.0,2073.73046875,32768.0
234.339,97.09,100.0,2087.10546875,32768.0
234.701,97.002,100.0,2096.57421875,32768.0
235.065,97.027,100.0,2108.5703125,32768.0
235.431,93.012,100.0,2107.4375,32768.0
235.789,91.064,100.0,2124.0,32768.0
236.151,92.086,100.0,2103.55859375,32768.0
236.517,93.006,100.0,2115.55078125,32768.0
236.883,94.067,100.0,2100.18359375,32768.0
237.26,94.038,100.0,2116.17578125,32768.0
237.621,93.095,100.0,2105.90625,32768.0
237.981,94.008,100.0,2117.9140625,32768.0
238.343,93.058,100.0,2133.90625,32768.0
